sentence,jo,label
"Now, two studies published in The BMJ offer fresh evidence of the health risks of ultra-processed foods.",The BMJ,1
"Comparing more than 263,000 active duty Army personnel to nearly 5,000 civilians, researchers found that soldiers were more likely to have high blood pressure and just as likely to have a higher than ideal body mass index (BMI), according to the report in the Journal of the American Heart Association.",Journal of the American Heart Association,1
"Vandekerckhove’s team, who published their results in The American Journal of Clinical Nutrition, searched the largest online databases of published research for clinical trials, reviews and all other types of studies for reports about people grouped by blood type following specifically prescribed diets.",American Journal of Clinical Nutrition,1
"Men taking hypertension medication did not have a higher risk of ED, Kupelian’s team reports in the medical journal BJU International.",BJU International,1
"People in the weight-loss group also reported greater improvements in their quality of life during the study period, Jensen and his colleagues wrote Wednesday in JAMA Dermatology.",JAMA Dermatology,1
"The study, published in the New England Journal of Medicine, is one of the largest to log such emergencies and track outcomes for the people who were in distress.",New England Journal of Medicine,1
"In 2010, U.S. children got an average of 68 fewer calories per day from sugary drinks than in 2000, according to the analysis in the American Journal of Clinical Nutrition.",American Journal of Clinical Nutrition,1
"Those kids were between 8 months and 12 years old, Wang and his colleagues reported in JAMA Pediatrics.",JAMA Pediatrics,1
"That suggests the 1998 regulation, part of the Master Settlement Agreement between tobacco companies and U.S. states, successfully stopped the tobacco industry from paying for its products to be shown on screen, the study team wrote in JAMA Pediatrics.",JAMA Pediatrics,1
"For their study, Ilgen and his colleagues write in JAMA Psychiatry that they wanted to look at possible links between specific pain conditions and completed suicides.",JAMA Psychiatry,1
"For the new study, published in the journal Circulation, the researchers recruited American and European athletes with ICDs between the ages of 10 and 60 years old starting in 2006.",Circulation,1
"That link was especially strong among children born to overweight mothers, Blustein and her colleagues report in the International Journal of Obesity.",International Journal of Obesity,1
"For the new analysis, which was published in the Journal of General Internal Medicine, the researchers used data from an annual national health survey that asks women between the ages of 40 and 74 years old if they had a mammogram during the past year.",Journal of General Internal Medicine,1
"And among current pot smokers, higher amounts of marijuana use weren’t linked to any added health benefits, researchers reported in The American Journal of Medicine.",The American Journal of Medicine,1
"But just 3 percent of doctors noted a complication in the same patients’ medical records, researchers reported this week in JAMA Internal Medicine.",JAMA Internal Medicine,1
